msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,trend_coef_Price,average_value_Price,pct_coef_Price,average_pct_Price,trend_coef_Rent,average_value_Rent,pct_coef_Rent,average_pct_Rent,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,normalized_trend_coef_Price,normalized_pct_coef_Price,normalized_average_pct_Price,Price_weight,normalized_trend_coef_Rent,normalized_pct_coef_Rent,normalized_average_pct_Rent,Rent_weight,total_weight,avg_insurance,prop_tax,Jobs,Rent,Price,rent_price_ratio,rank
"Santa Maria, CA",2.7902143204771654,119.0909090909091,2.703228500363347e-07,0.0008105827832974442,142.22109020523004,4268.179893932222,1.4434229102116785e-06,0.005954928859387516,0.5187050253769494,14.349618435782999,4.6642628764756014e-07,0.005834045611079014,0.05194268890874617,0.5008893357874986,0.28343593166757913,0.20777075563498468,0.5710605298400367,0.5709494097961632,0.6323325351349764,0.5710605298400367,1.0,0.43817518677970374,0.5929139048060932,2.0,2.7788312854750217,2598.0,0.0076,191600.0,3352.4817290552583,987273.2963992244,0.0033956977680672656,11
"Orlando, FL",83.07922491635357,3183.6363636363635,8.256466709740644e-08,0.002596221125470912,70.99955672652479,1994.9385833754534,3.2866609465405164e-07,0.0074026068015558225,0.28988318025101034,8.052528467705747,5.612690037460334e-07,0.005262237798448022,0.3514725242444568,0.415251660190196,0.6870048932765392,1.4058900969778272,0.2686123147035547,0.4152596601758767,0.8271642107457465,0.2686123147035547,0.523112906934754,0.45851516148598703,0.516656750441629,1.046225813869508,2.72072822555089,5854.0,0.0089,1482300.0,2023.827542693077,397989.78368413466,0.005085124356607333,12
"Naples, FL",10.648922419129159,374.54545454545456,4.489355467176891e-08,0.002727317914432138,97.39463278216682,2902.609598212411,1.893724702059337e-06,0.0067392982761152066,0.48861695395439614,13.44585869684719,1.9310607109870323e-06,0.00665377018449731,0.08126074284004649,0.39806963139763146,0.7166338465431641,0.32504297136018595,0.38070121888037267,0.633839694249153,0.7378946932003312,0.38070121888037267,0.937293517982325,0.7522807749594609,0.702233613195323,1.87458703596465,2.5803312262052085,5854.0,0.0089,173900.0,2869.016148251941,618052.9860826973,0.004642022954109728,13
"Seattle, WA",62.47442335283947,2580.909090909091,-3.4248436032604947e-07,0.0013616560366090016,133.0552525998236,3712.2226568766932,-1.9902396398916135e-06,0.007234030036706197,0.23925182319265076,7.622755937347533,-4.855084360786379e-07,0.00440012574973691,0.27460331420388184,0.2213841538388019,0.4079830223952108,1.0984132568155274,0.5321370317267183,0.09139543421564739,0.804476779647983,0.5321370317267183,0.417592209502127,0.23402320759639864,0.40168418426500446,0.835184419004254,2.4657347075464995,2801.0,0.0098,2146400.0,2193.73452344798,752995.190225948,0.002913344669292928,14
"Houston, TX",114.1001564936033,3933.6363636363635,1.0121218801917712e-06,0.0012915315463498738,42.78700816317803,1204.5963949005768,-1.7770592668633935e-08,0.005107399917965254,0.13600150467021252,3.8725493347481854,1.0302380816474973e-06,0.002699426625906391,0.4672006227517657,0.839228489418464,0.3921343104534706,1.8688024910070629,0.14880536109468853,0.3668754382937525,0.5182702295792257,0.14880536109468853,0.20240845276279007,0.5590902986703841,0.1748763779555327,0.40481690552558014,2.4224247576273314,5602.0,0.018,3430300.0,1664.1450377178244,310906.13626232464,0.005352564145963703,15
"Santa Cruz, CA",-0.7295356887998284,36.36363636363637,-1.738912571293497e-07,0.0005823837168735488,175.09171834109915,4936.428873379221,-1.1832340317222765e-06,0.005672339654513547,0.41168952913941126,13.726241829589352,-7.03064758858808e-07,0.005339926080948738,0.03881174940809488,0.29828051730753935,0.23186106451686073,0.1552469976323795,0.7106484090181947,0.20410387369282768,0.594301059562,0.7106484090181947,0.7769692448482528,0.18736606528147187,0.5270173772468286,1.5539384896965056,2.41983389634708,2598.0,0.0076,100900.0,3422.2428899835795,1184222.9247208766,0.0028898637397939313,16
"Nashville, TN",74.4290037263343,2401.818181818182,-1.7650323127516545e-07,0.0024465886518417654,79.92571229914174,2219.496386352546,-1.0888521972734106e-06,0.0074106332665262314,0.23012490054899318,6.5034272941988815,3.1085597449001065e-07,0.004301160661452455,0.3192016155679832,0.2970891796461568,0.6531867227213572,1.2768064622719328,0.30651798296294075,0.21728547883663374,0.8282444300223307,0.30651798296294075,0.39857081053661436,0.40481156788684436,0.38848605047372886,0.7971416210732287,2.3804660663081023,4873.0,0.0071,1163000.0,1904.4590921551917,442659.1493780543,0.004302314986216817,17
"Sacramento, CA",45.89053483470843,1729.090909090909,-9.94307188129875e-08,0.0018334422119667564,90.60557396645355,2412.9204941452817,-1.2821051259622741e-06,0.005583961722984842,0.31979862838572937,9.166122515316083,-8.3507375358014e-07,0.005400843909662878,0.2127347052847343,0.33224243217764254,0.5146105809515757,0.8509388211389372,0.3518709112335567,0.1902952871992713,0.5824069635167419,0.3518709112335567,0.5854596251462884,0.15905540818424224,0.5351414709810987,1.1709192502925767,2.3737289826650705,2598.0,0.0076,1095100.0,2257.290357841637,584288.8717138467,0.0038633122537838384,18
"Charlotte, NC",72.83060444302997,2461.818181818182,-2.0014954351989867e-07,0.002097838119886929,70.29126179172964,1925.6196197353238,3.8849849407213445e-07,0.007414548595152298,0.23654034391357928,6.697940542104274,4.880767066117542e-07,0.004909515827479688,0.3132385544893173,0.2863039494879289,0.5743662321900708,1.2529542179572692,0.26560448085955224,0.4236160040479907,0.8287713635443271,0.26560448085955224,0.41194122163166663,0.4428183369574667,0.46961721514023175,0.8238824432633333,2.3424411420801547,4375.0,0.0084,1363200.0,1771.2063150325885,383795.9124220579,0.004614969200309784,19
"Denver, CO",67.48897518236149,2261.818181818182,-1.6632834989020696e-07,0.0015969302088772886,96.39442734279348,2702.5957921418694,-2.066641670790246e-06,0.006348274150591006,0.21415277942649413,6.897886035471945,-2.5043572717727894e-08,0.0042485275606833055,0.2933108293747844,0.3017300063608546,0.46115692169676165,1.1732433174991377,0.3764537625966812,0.08072493380238967,0.6852698079540939,0.3764537625966812,0.3652833488084634,0.33277453040930427,0.3814668205832419,0.7305666976169268,2.280263777712746,5542.0,0.0051,1627100.0,2026.856121069835,597619.1690970184,0.0033915513856965854,20
