msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,trend_coef_Price,average_value_Price,pct_coef_Price,average_pct_Price,trend_coef_Rent,average_value_Rent,pct_coef_Rent,average_pct_Rent,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,normalized_trend_coef_Price,normalized_pct_coef_Price,normalized_average_pct_Price,Price_weight,normalized_trend_coef_Rent,normalized_pct_coef_Rent,normalized_average_pct_Rent,Rent_weight,total_weight,avg_insurance,prop_tax,Jobs,Rent,Price,rent_price_ratio,rank
"Tucson, AZ",9.69962023150262,333.6363636363636,2.102149382739578e-07,0.0009409200294957853,61.913421972274,1579.5254718875349,8.567601174316037e-07,0.006305628441107282,0.24054327875563872,6.469436616570969,1.2063009657474598e-06,0.005545094157841202,0.07771923291442523,0.4734737432004525,0.31289322201855324,1.251572888074213,0.23002728143220053,0.48901460388624923,0.679530454749693,0.679530454749693,0.4202837291379262,0.5968487555833042,0.5543789021589506,1.1087578043179012,3.0398611471418073,4086.0,0.0066,403800.0,1563.7728356548598,350826.115734131,0.0044574014462479316,91
"Pueblo, CO",0.8545136874062246,39.09090909090902,-1.4636324265145587e-07,0.0006982813881381212,61.12256940705353,1481.7463339398887,-1.5223917167919418e-06,0.007582138889043548,0.20623202614164696,5.766421121283634,-1.274920032532503e-07,0.0056794252907937035,0.044721276070552006,0.3108362160088978,0.2580548920912668,1.0322195683650672,0.22666885968664013,0.1567362556317722,0.8513260332148674,0.8513260332148674,0.3487757246923358,0.3108034337187858,0.5722935051343437,1.1445870102686875,3.028132611848622,5542.0,0.0051,64599.99999999999,1362.0622895622896,291208.5143611294,0.004677274950392378,92
"Johnson City, TN",2.3746816172979157,77.27272727272727,1.7575288240669818e-07,0.0010108947389328366,39.790925017786044,1155.560841796249,2.360535374408753e-06,0.006169897827697434,0.16645979587657114,5.018946636095442,2.9017319515316534e-06,0.0053276169828679505,0.05039248370337432,0.4577553850730922,0.32870808226176823,1.314832329047073,0.1360822427417927,0.6990356506083012,0.6612635308213571,0.6612635308213571,0.265886508999688,0.9604509886877878,0.5253758173176016,1.0507516346352033,3.0268474945036337,4873.0,0.0071,86500.0,1241.362745098039,260352.41383585669,0.0047680093562745916,93
"Columbus, OH",30.66919780592396,1165.4545454545455,-8.147366722673313e-08,0.001168575070451689,51.34801635182866,1461.0849041601891,3.438813571884744e-07,0.006606020616612358,0.17811234046197796,5.343759853337655,7.55185207586522e-07,0.0045702920747801275,0.15594929293522242,0.34043275514709675,0.3643451349360314,1.4573805397441255,0.1851604003638214,0.41738466213265435,0.7199578931938814,0.7199578931938814,0.29017155097673086,0.5001024424444823,0.42437782263407015,0.8487556452681403,3.0260940782061474,3265.0,0.0156,1159000.0,1491.469257748912,314037.8939582072,0.004749328939097393,94
"Harrisonburg, VA",1.652025012052358,81.81818181818181,1.4529762940692263e-07,0.0012934205360178358,40.23114110265579,1155.6986168310882,1.272835432883745e-06,0.004599996523757914,0.21517315991985475,6.293174439776821,6.358647577089436e-07,0.0051127655841115265,0.04769650809765945,0.4438645546666386,0.39256123766531664,1.5702449506612666,0.13795165726630632,0.5471247322854389,0.4499827668608673,0.4499827668608673,0.3674099215009937,0.4745129714519771,0.4967229099622368,0.9934458199244736,3.0136735374466075,3430.0,0.0082,73000.0,1636.5711412770236,322438.15522572654,0.005075612531436681,95
"Greeley, CO",3.9421846940830823,127.27272727272727,5.303447036901485e-07,0.0012296366430533264,84.3895607315873,2330.419433779264,-2.644641637783106e-06,0.006610554651860599,0.20827530700817473,6.278247670836523,8.679828968705445e-09,0.004306849420266114,0.05624028198850843,0.6194869212714694,0.37814555289695967,1.5125822115878387,0.32547408970608754,0.0,0.7205680936113651,0.7205680936113651,0.3530341217532369,0.34000685320149104,0.38924471194951277,0.7784894238990255,3.0116397290982295,5542.0,0.0051,115900.0,1838.7158585499928,501002.41543655697,0.003670073839759428,96
"Eugene, OR",1.304948273376164,116.36363636363636,-4.6895959716380734e-07,0.0008665057371727605,80.20704747178158,2093.7676838946963,-9.043933713201566e-07,0.006588702735618931,0.25716394917213636,7.54691047155278,3.874763796903656e-07,0.005492645770250223,0.04640168782757537,0.1636980113023303,0.29607497950416206,1.1842999180166482,0.30771269636861986,0.24304746389662057,0.7176272147510478,0.7176272147510478,0.4549228309918453,0.42124358468128403,0.547384305897158,1.094768611794316,2.996695744562012,3016.0,0.0097,163100.0,1836.885469232354,451029.516261265,0.0040726502435115865,97
"Medford, OR",1.5518514301872992,74.54545454545455,-7.688594011010107e-07,0.0009985822654354527,64.8182726505163,1715.4366655730264,-1.6890257899677507e-06,0.005355912972183054,0.2440618619849672,7.491156886487198,-1.411955245401765e-06,0.005665960582945964,0.04732279597618301,0.02691184454643113,0.3259253619164328,1.3037014476657312,0.24236297346184585,0.13346372052018127,0.5517156619879591,0.5517156619879591,0.42761680053685264,0.035337368097833284,0.5704978313395191,1.1409956626790383,2.9964127723327287,3016.0,0.0097,89400.0,1786.8823529411766,427762.0224695024,0.004177281430046946,98
"Albuquerque, NM",8.567753781659068,386.3636363636364,5.275052150998583e-07,0.0010622412154659795,52.90653743771475,1474.5703213340482,1.8343898890750895e-06,0.006077572110148152,0.20938850677265045,5.918622141460483,2.0536130047910164e-06,0.005075563679613396,0.07349664044719326,0.6181918128562127,0.34031280855339613,1.3612512342135845,0.19177879086533678,0.6255528445539007,0.648838133066694,0.648838133066694,0.3553541388800526,0.7785633473984651,0.4917616077356847,0.9835232154713694,2.993612582751648,4529.0,0.008,420900.0,1526.9191877924434,335718.3139896525,0.004548215346510724,99
"Killeen, TX",4.650698058837416,185.45454545454547,-5.367757985894418e-08,0.001320896172596772,44.28161200430344,1090.61357211008,1.184105816029096e-06,0.0057717084989431745,0.18099053249862787,4.53022371504874,1.7607840134076065e-06,0.0043080778962544366,0.05888349417786022,0.35311072356166784,0.39877095766394177,1.595083830655767,0.15515232165570578,0.5347325301125425,0.6076743367943193,0.6076743367943193,0.2961699845305119,0.715763223962303,0.3894085433645532,0.7788170867291064,2.9815752541791927,5602.0,0.018,155100.0,1326.1081433234074,257787.30190133225,0.005144194976023192,100
