msa_name,trend_coef_Price,average_value_Price,pct_coef_Price,average_pct_Price,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,trend_coef_Rent,average_value_Rent,pct_coef_Rent,average_pct_Rent,normalized_trend_coef_Price,normalized_pct_coef_Price,normalized_average_pct_Price,Price_weight,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,normalized_trend_coef_Rent,normalized_pct_coef_Rent,normalized_average_pct_Rent,Rent_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"St. George, UT",107.69086138733115,2676.960209751195,-4.556215205382928e-07,0.007493232996020026,8.989171554922365,271.8181818181818,-4.7187035743649887e-07,0.003981104792564301,0.2598641623155186,6.924548734037178,-4.936754044807096e-07,0.004971856379922279,0.42442501717797926,0.3057240729200072,0.8393608829525787,1.263785900130558,0.07506880076273688,0.16237039542922957,1.0,1.075068800762737,0.4605503391342406,0.23227171905243202,0.47793104546183407,0.9384813845960747,3.2773360854893694,2876.0,0.0063,86000.0,1807.457396546106,530832.6397814313,0.0034049477388774004
"Atlanta, GA",70.28343103162898,1928.3994713450975,2.6329287296643554e-07,0.007371942094588769,138.3279284013837,4861.818181818182,-1.1794010584231878e-07,0.001835613954820056,0.29316713527019234,7.826275374994767,-3.171076305422202e-08,0.005435413630877769,0.2655712268800333,0.4061294710849715,0.8230372871624833,1.0886085140425166,0.5575858507702728,0.32380018557559503,0.515101412710442,1.0726872634807147,0.5299569902083276,0.33134468436118536,0.5397517412656038,1.0697087314739315,3.231004508997163,4006.0,0.0092,3078000.0,1919.1852151724595,385770.9266957661,0.0049749348184706605
"Cape Coral, FL",69.5858399841762,1929.257186244259,4.959273396626722e-07,0.007022856492759266,18.1539993739398,612.7272727272727,-3.0276200761426635e-07,0.0024325527834761383,0.3730576122294705,10.271063114494815,4.1193473208332043e-07,0.006674719580184243,0.2626088479913456,0.43861978768812093,0.7760565805046421,1.0386654284959878,0.10925952433918883,0.2395017660900868,0.6500145009518015,0.7592740252909903,0.6964565536557659,0.4264889244342446,0.705027456275903,1.4014840099316688,3.199423463718647,5854.0,0.0089,307800.0,2183.705910664381,399339.0742027342,0.005468300128215776
"Punta Gorda, FL",69.8540938914504,1821.4772981505205,-2.2557248265469575e-07,0.0076334019007295,3.0564990323347083,100.0,2.805764866417473e-07,0.0021452834303179328,0.3764760574521771,10.587848252458278,9.606538929637047e-07,0.006787903284615723,0.26374801070654785,0.33785330201161756,0.8582251218676027,1.1219731325741504,0.05293610276829127,0.505566083248314,0.5850892628349823,0.6380253656032736,0.7035809276601889,0.5441672693012539,0.7201218062125717,1.4237027338727606,3.1837012320501845,5854.0,0.0089,56200.0,2233.710472033876,357076.636647495,0.006255549209283577
"Orlando, FL",70.99955672652479,1994.9385833754534,3.2866609465405164e-07,0.0074026068015558225,83.07922491635357,3183.6363636363635,8.256466709740644e-08,0.002596221125470912,0.28988318025101034,8.052528467705747,5.612690037460334e-07,0.005262237798448022,0.2686123147035547,0.4152596601758767,0.8271642107457465,1.0957765254493013,0.3514725242444568,0.415251660190196,0.6870048932765392,1.038477417520996,0.523112906934754,0.45851516148598703,0.516656750441629,1.0397696573763828,3.1740236003466804,5854.0,0.0089,1482300.0,2023.827542693077,397989.78368413466,0.005085124356607333
"San Diego, CA",144.064101389551,4375.401201377196,7.292814923834091e-07,0.0064561028098935255,41.37253131876002,1753.6363636363637,-1.1614164191949144e-08,0.0013491832169169988,0.40296358580183583,11.808699048005012,7.855635025571077e-07,0.0052484317192259015,0.5788870314042177,0.47121061745736714,0.6997816256442265,1.2786686570484442,0.19587963584080104,0.37229610919450756,0.4051640624901998,0.6010436983310008,0.7587835259531966,0.5066173734454058,0.5148155508442239,1.2735990767974206,3.1533114321768654,2598.0,0.0076,1560300.0,2971.155757070846,957093.773617926,0.0031043517771926683
"Palm Bay, FL",68.15012799759795,1900.3153892438065,-8.136282807797657e-07,0.008072876405232675,16.171683255268533,501.8181818181818,-2.53007145962979e-07,0.0022950969917100218,0.32426619929643064,9.146890646815788,-3.1904378211983985e-08,0.006296099351753401,0.2565119766298145,0.2557239454603842,0.9173705654821688,1.1738825421119832,0.10186420564984103,0.26219526809775984,0.6189483607149897,0.7208125663648307,0.594770479638763,0.3313031616425873,0.6545340902057339,1.249304569844497,3.1439996783213107,5854.0,0.0089,255800.0,2020.6079150506584,359113.9712520665,0.005626648019306297
"Santa Maria, CA",142.22109020523004,4268.179893932222,1.4434229102116785e-06,0.005954928859387516,2.7902143204771654,119.0909090909091,2.703228500363347e-07,0.0008105827832974442,0.5187050253769494,14.349618435782999,4.6642628764756014e-07,0.005834045611079014,0.5710605298400367,0.5709494097961632,0.6323325351349764,1.203393064975013,0.05194268890874617,0.5008893357874986,0.28343593166757913,0.3353786205763253,1.0,0.43817518677970374,0.5929139048060932,1.5929139048060932,3.1316855903574314,2598.0,0.0076,191600.0,3352.4817290552583,987273.2963992244,0.0033956977680672656
"Idaho Falls, ID",88.12012919432071,2090.654881353516,-1.0472403004261357e-06,0.008294144570987903,6.80290833806242,206.36363636363637,-8.252034049298344e-09,0.0029601754910353025,0.2096774228467868,5.447652138192127,7.826371248210038e-07,0.006269911421389556,0.34131626155900796,0.22309710134565305,0.9471493209896562,1.2884655825486642,0.06691262775118138,0.37382959767402646,0.7692615753351731,0.8361742030863545,0.3559562682207144,0.5059897822967973,0.6510416282209055,1.00699789644162,3.1316376820766383,3427.0,0.0069,82800.0,1208.5668276972624,389177.5129883968,0.003105438488511271
"Lakeland, FL",62.254567672506916,1662.1360328217124,1.2235831089052271e-08,0.007983772019072766,22.064434067760725,650.0,2.636871289956376e-09,0.0027746955021153348,0.2919251169265985,8.010190414850133,6.926885300972433e-07,0.005653014905528409,0.2314759852595027,0.37106621114809696,0.905378701577824,1.1368546868373266,0.12384796989653622,0.3787960951574205,0.7273415712896949,0.8511895411862311,0.5273685025703394,0.4866994011604386,0.5687713762275458,1.096139878797885,3.084184106821443,5854.0,0.0089,276200.0,1910.046259612916,316290.91368588567,0.0060388907077799205
