msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,trend_coef_Rent,average_value_Rent,pct_coef_Rent,average_pct_Rent,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,normalized_trend_coef_Rent,normalized_pct_coef_Rent,normalized_average_pct_Rent,Rent_weight,total_weight,avg_insurance,prop_tax,Jobs,Rent,Price,rent_price_ratio
"San Diego, CA",41.37253131876002,1753.6363636363637,-1.1614164191949144e-08,0.0013491832169169988,0.40296358580183583,11.808699048005012,7.855635025571077e-07,0.0052484317192259015,0.19587963584080104,0.37229610919450756,0.4051640624901998,0.3917592716816021,0.7587835259531966,0.5066173734454058,0.5148155508442239,0.7587835259531966,1.1505427976347988,2598.0,0.0076,1560300.0,2971.155757070846,957093.773617926,0.0031043517771926683
"Houston, TX",114.1001564936033,3933.6363636363635,1.0121218801917712e-06,0.0012915315463498738,0.13600150467021252,3.8725493347481854,1.0302380816474973e-06,0.002699426625906391,0.4672006227517657,0.839228489418464,0.3921343104534706,0.9344012455035314,0.20240845276279007,0.5590902986703841,0.1748763779555327,0.20240845276279007,1.1368096982663216,5602.0,0.018,3430300.0,1664.1450377178244,310906.13626232464,0.005352564145963703
"Santa Maria, CA",2.7902143204771654,119.0909090909091,2.703228500363347e-07,0.0008105827832974442,0.5187050253769494,14.349618435782999,4.6642628764756014e-07,0.005834045611079014,0.05194268890874617,0.5008893357874986,0.28343593166757913,0.10388537781749234,1.0,0.43817518677970374,0.5929139048060932,1.0,1.1038853778174924,2598.0,0.0076,191600.0,3352.4817290552583,987273.2963992244,0.0033956977680672656
"Naples, FL",10.648922419129159,374.54545454545456,4.489355467176891e-08,0.002727317914432138,0.48861695395439614,13.44585869684719,1.9310607109870323e-06,0.00665377018449731,0.08126074284004649,0.39806963139763146,0.7166338465431641,0.16252148568009298,0.937293517982325,0.7522807749594609,0.702233613195323,0.937293517982325,1.099815003662418,5854.0,0.0089,173900.0,2869.016148251941,618052.9860826973,0.004642022954109728
"Charlotte, NC",72.83060444302997,2461.818181818182,-2.0014954351989867e-07,0.002097838119886929,0.23654034391357928,6.697940542104274,4.880767066117542e-07,0.004909515827479688,0.3132385544893173,0.2863039494879289,0.5743662321900708,0.6264771089786346,0.41194122163166663,0.4428183369574667,0.46961721514023175,0.41194122163166663,1.0384183306103012,4375.0,0.0084,1363200.0,1771.2063150325885,383795.9124220579,0.004614969200309784
"Nashville, TN",74.4290037263343,2401.818181818182,-1.7650323127516545e-07,0.0024465886518417654,0.23012490054899318,6.5034272941988815,3.1085597449001065e-07,0.004301160661452455,0.3192016155679832,0.2970891796461568,0.6531867227213572,0.6384032311359664,0.39857081053661436,0.40481156788684436,0.38848605047372886,0.39857081053661436,1.0369740416725808,4873.0,0.0071,1163000.0,1904.4590921551917,442659.1493780543,0.004302314986216817
"Sacramento, CA",45.89053483470843,1729.090909090909,-9.94307188129875e-08,0.0018334422119667564,0.31979862838572937,9.166122515316083,-8.3507375358014e-07,0.005400843909662878,0.2127347052847343,0.33224243217764254,0.5146105809515757,0.4254694105694686,0.5854596251462884,0.15905540818424224,0.5351414709810987,0.5854596251462884,1.010929035715757,2598.0,0.0076,1095100.0,2257.290357841637,584288.8717138467,0.0038633122537838384
"Las Vegas, NV",55.47021768720873,2224.5454545454545,7.546262778338372e-07,0.0026101435115560017,0.2699689577330991,6.9821211711228734,7.910782058552746e-08,0.00519370005794514,0.24847310592116106,0.7217831428705941,0.6901514671167043,0.4969462118423221,0.4816097205497552,0.35511084459934544,0.5075164537512571,0.4816097205497552,0.9785559323920774,2707.0,0.006,1149800.0,1772.931503609456,424147.21291320096,0.004179990931526586
"Seattle, WA",62.47442335283947,2580.909090909091,-3.4248436032604947e-07,0.0013616560366090016,0.23925182319265076,7.622755937347533,-4.855084360786379e-07,0.00440012574973691,0.27460331420388184,0.2213841538388019,0.4079830223952108,0.5492066284077637,0.417592209502127,0.23402320759639864,0.40168418426500446,0.417592209502127,0.9667988379098906,2801.0,0.0098,2146400.0,2193.73452344798,752995.190225948,0.002913344669292928
"Denver, CO",67.48897518236149,2261.818181818182,-1.6632834989020696e-07,0.0015969302088772886,0.21415277942649413,6.897886035471945,-2.5043572717727894e-08,0.0042485275606833055,0.2933108293747844,0.3017300063608546,0.46115692169676165,0.5866216587495688,0.3652833488084634,0.33277453040930427,0.3814668205832419,0.3652833488084634,0.9519050075580322,5542.0,0.0051,1627100.0,2026.856121069835,597619.1690970184,0.0033915513856965854
"Port St. Lucie, FL",10.816479772981753,353.6363636363636,-3.830580268394157e-08,0.0024218921043008368,0.40685416981161987,11.196813911632333,8.839851554927553e-07,0.006592102021447777,0.08188583992663748,0.3601218867848178,0.6476050997179627,0.16377167985327495,0.7668918833424611,0.5277248871651008,0.6940094537397125,0.7668918833424611,0.9306635631957361,5854.0,0.0089,173700.0,2400.2609250221826,402978.5067389559,0.005956300112494683
"North Port, FL",17.82531053075127,646.3636363636364,1.7086053460812142e-07,0.0022385591909846268,0.37676882835094166,9.9874176625084,1.3316479122003835e-06,0.0055506434001201185,0.10803330278849006,0.4555239547986526,0.606170352429936,0.21606660557698013,0.7041910908321932,0.6237306694006517,0.555118957498737,0.7041910908321932,0.9202576964091733,5854.0,0.0089,346400.0,2419.1712082560293,457647.8349762934,0.005286097788229119
"Cape Coral, FL",18.1539993739398,612.7272727272727,-3.0276200761426635e-07,0.0024325527834761383,0.3730576122294705,10.271063114494815,4.1193473208332043e-07,0.006674719580184243,0.10925952433918883,0.2395017660900868,0.6500145009518015,0.21851904867837765,0.6964565536557659,0.4264889244342446,0.705027456275903,0.6964565536557659,0.9149756023341435,5854.0,0.0089,307800.0,2183.705910664381,399339.0742027342,0.005468300128215776
"Boise City, ID",34.20472189747433,1026.3636363636363,-1.7615708054547025e-07,0.003081291010663148,0.30699271896285985,7.911836905060723,-4.281341792883231e-07,0.006200794321415206,0.1691390799447775,0.29724706114795557,0.7966346795839567,0.338278159889555,0.5587708581041035,0.24632769422344908,0.64182406727553,0.5587708581041035,0.8970490179936585,3427.0,0.0069,401000.0,1767.2558330855388,479768.3557259431,0.0036835606433681593
"Sebastian, FL",2.8168938840933135,95.45454545454545,1.2871126859868016e-08,0.001912250575038845,0.4174540840972923,12.741753697716355,4.91891316684014e-07,0.008886546213616486,0.052042220902445736,0.383464002807342,0.5324219196196245,0.10408444180489147,0.7889831408780034,0.4436364184673165,1.0,0.7889831408780034,0.8930675826828949,5854.0,0.0089,59000.0,2263.7619047619046,380245.6375560223,0.005953419792826368
