msa_name,2023_population
"St. Louis, MO",2796999.0
"Salem, OR",436546.0
"Salinas, CA",430723.0
"Salisbury, MD",129710.0
"Salt Lake City, UT",1267864.0
"San Angelo, TX",120606.0
"San Antonio, TX",2703999.0
"San Diego, CA",3269973.0
"Sandusky, OH",113838.0
"San Francisco, CA",4566961.0
"San Jose, CA",1945767.0
"San Luis Obispo, CA",281639.0
"Santa Cruz, CA",261547.0
"Santa Fe, NM",155956.0
"Santa Maria, CA",441257.0
"Santa Rosa, CA",481812.0
"Savannah, GA",424935.0
"Scranton, PA",569413.0
"Seattle, WA",4044837.0
"Sebastian, FL",169795.0
"Sebring, FL",107614.0
"Sheboygan, WI",117752.0
"Sherman, TX",146907.0
"Shreveport, LA",383295.0
"Sierra Vista, AZ",124640.0
"Sioux City, IA",144402.0
"Sioux Falls, SD",304555.0
"Slidell, LA",275583.0
"South Bend, IN",324490.0
"Spartanburg, SC",383327.0
"Spokane, WA",600292.0
"Springfield, IL",205445.0
"Springfield, MA",460291.0
"Springfield, MO",491053.0
"Springfield, OH",134610.0
"State College, PA",157795.0
"Staunton, VA",127344.0
"Stockton, CA",800965.0
"Sumter, SC",104165.0
"Syracuse, NY",652956.0
"Tallahassee, FL",392645.0
"Tampa, FL",3342963.0
"Terre Haute, IN",168787.0
"Texarkana, TX",145907.0
"Toledo, OH",600141.0
"Topeka, KS",232322.0
"Traverse City, MI",156371.0
"Trenton, NJ",381671.0
"Tucson, AZ",1063162.0
"Tulsa, OK",1044757.0
"Tuscaloosa, AL",278290.0
"Twin Falls, ID",120635.0
"Tyler, TX",245209.0
"Urban Honolulu, HI",989408.0
"Utica, NY",287039.0
"Valdosta, GA",151118.0
"Vallejo, CA",449218.0
"Victoria, TX",98808.0
"Vineland, NJ",152326.0
"Virginia Beach, VA",1787169.0
"Visalia, CA",479468.0
"Waco, TX",304865.0
"Walla Walla, WA",61568.0
"Warner Robins, GA",200779.0
"Washington, DC",6304975.0
"Waterbury, CT",456128.0
"Waterloo, IA",168162.0
"Watertown, NY",114787.0
"Wausau, WI",138612.0
"Weirton, WV",113544.0
"Wenatchee, WA",124795.0
